X1,X2,Y
21,98,0
45,91,0
94,34,0
35,99,0
4,15,0
97,18,0
88,52,0
24,84,0
20,60,0
25,51,0
58,90,0
18,55,0
17,65,0
42,70,0
23,32,0
95,5,0
12,69,0
69,17,0
46,59,1
32,46,0
60,52,1
10,4,0
96,9,0
86,67,0
38,31,0
23,57,0
8,53,0
66,69,0
32,48,0
37,7,0
85,53,0
31,78,0
4,91,0
19,10,0
3,24,0
43,22,0
17,72,0
25,95,0
78,17,0
64,40,0
96,26,0
60,81,0
18,49,0
97,7,0
26,93,0
37,21,0
93,92,0
60,50,1
58,49,1
87,50,0
9,26,0
93,11,0
75,54,0
47,58,1
78,35,0
19,35,0
2,94,0
68,4,0
78,40,0
22,62,0
16,38,0
14,87,0
99,44,0
64,89,0
6,31,0
22,97,0
55,58,1
48,46,1
33,14,0
51,57,1
6,8,0
33,85,0
100,46,0
42,32,0
82,81,0
97,16,0
73,8,0
95,10,0
23,96,0
73,68,0
64,5,0
61,89,0
100,98,0
14,20,0
74,10,0
25,64,0
43,19,0
88,73,0
64,46,1
44,86,0
99,40,0
53,86,0
32,86,0
19,40,0
90,43,0
93,29,0
27,55,0
63,58,1
14,24,0
46,67,0
